timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1,66975E+12;907;Consultar Pets;200;;Consultas 2-76;text;true;;27409;157;199;199;http://52.203.70.101:8080/pets;904;0;0
1,66975E+12;14008;Consultar Demandas;200;;Consultas 2-78;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;13537;0;158
1,66975E+12;996;Consultar Pets;200;;Consultas 2-77;text;true;;27409;157;199;199;http://52.203.70.101:8080/pets;992;0;0
1,66975E+12;240;Consultar Instituições;200;;Consultas 2-76;text;true;;6482;165;199;199;http://52.203.70.101:8080/instituicoes;240;0;0
1,66975E+12;14769;Consultar Demandas;200;;Consultas 2-89;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;14290;0;158
1,66975E+12;14838;Consultar Demandas;200;;Consultas 2-84;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;14339;0;159
1,66975E+12;14836;Consultar Demandas;200;;Consultas 2-82;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;14337;0;157
1,66975E+12;14820;Consultar Demandas;200;;Consultas 2-88;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;14342;0;165
1,66975E+12;14838;Consultar Demandas;200;;Consultas 2-87;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;14356;0;167
1,66975E+12;14861;Consultar Demandas;200;;Consultas 2-83;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;14404;0;157
1,66975E+12;15208;Consultar Demandas;200;;Consultas 2-92;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;14712;0;163
1,66975E+12;15345;Consultar Demandas;200;;Consultas 2-95;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;14852;0;170
1,66975E+12;15603;Consultar Demandas;200;;Consultas 2-97;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;15122;0;165
1,66975E+12;15840;Consultar Demandas;200;;Consultas 2-102;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;15350;0;162
1,66975E+12;16064;Consultar Demandas;200;;Consultas 2-100;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;15589;0;159
1,66975E+12;16323;Consultar Demandas;200;;Consultas 2-101;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;15838;0;170
1,66975E+12;16316;Consultar Demandas;200;;Consultas 2-104;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;15821;0;163
1,66975E+12;16377;Consultar Demandas;200;;Consultas 2-94;text;true;;129405;161;199;199;http://52.203.70.101:8080/demandas;15886;0;174
